,state,term,outcome,croscor,lagd
138,Alabama,vaccine,daily_vaccinations_per_million,0.033279251,-12
139,Alabama,vaccine,daily_vaccinations_per_million,0.041856215,-11
140,Alabama,vaccine,daily_vaccinations_per_million,0.191821059,-10
141,Alabama,vaccine,daily_vaccinations_per_million,-0.023902274,-9
142,Alabama,vaccine,daily_vaccinations_per_million,0.089057713,-8
143,Alabama,vaccine,daily_vaccinations_per_million,0.013010706,-7
144,Alabama,vaccine,daily_vaccinations_per_million,0.02738458,-6
145,Alabama,vaccine,daily_vaccinations_per_million,0.021272705,-5
146,Alabama,vaccine,daily_vaccinations_per_million,-0.016217078,-4
147,Alabama,vaccine,daily_vaccinations_per_million,0.124304627,-3
148,Alabama,vaccine,daily_vaccinations_per_million,-0.027688708,-2
149,Alabama,vaccine,daily_vaccinations_per_million,0.323113898,-1
150,Alabama,vaccine,daily_vaccinations_per_million,0.008387422,0
151,Alabama,vaccine near me,daily_vaccinations,0.049155284,-14
152,Alabama,vaccine near me,daily_vaccinations,-0.050576683,-13
153,Alabama,vaccine near me,daily_vaccinations,0.093734713,-12
154,Alabama,vaccine near me,daily_vaccinations,0.131115403,-11
155,Alabama,vaccine near me,daily_vaccinations,0.106493919,-10
156,Alabama,vaccine near me,daily_vaccinations,0.044691031,-9
157,Alabama,vaccine near me,daily_vaccinations,0.033931343,-8
158,Alabama,vaccine near me,daily_vaccinations,0.018092024,-7
159,Alabama,vaccine near me,daily_vaccinations,-0.042458275,-6
160,Alabama,vaccine near me,daily_vaccinations,0.006995,-5
161,Alabama,vaccine near me,daily_vaccinations,-0.037317769,-4
162,Alabama,vaccine near me,daily_vaccinations,-0.02183877,-3
163,Alabama,vaccine near me,daily_vaccinations,-0.06798316,-2
164,Alabama,vaccine near me,daily_vaccinations,0.217104404,-1
165,Alabama,vaccine near me,daily_vaccinations,0.03386514,0
166,Alabama,vaccine near me,daily_vaccinations_per_million,0.049254282,-14
167,Alabama,vaccine near me,daily_vaccinations_per_million,-0.050513595,-13
168,Alabama,vaccine near me,daily_vaccinations_per_million,0.09318606,-12
169,Alabama,vaccine near me,daily_vaccinations_per_million,0.131383097,-11
170,Alabama,vaccine near me,daily_vaccinations_per_million,0.106184391,-10
171,Alabama,vaccine near me,daily_vaccinations_per_million,0.044776032,-9
172,Alabama,vaccine near me,daily_vaccinations_per_million,0.034207364,-8
173,Alabama,vaccine near me,daily_vaccinations_per_million,0.017661738,-7
174,Alabama,vaccine near me,daily_vaccinations_per_million,-0.04197449,-6
175,Alabama,vaccine near me,daily_vaccinations_per_million,0.006697924,-5
176,Alabama,vaccine near me,daily_vaccinations_per_million,-0.03717603,-4
177,Alabama,vaccine near me,daily_vaccinations_per_million,-0.021881473,-3
178,Alabama,vaccine near me,daily_vaccinations_per_million,-0.06821768,-2
179,Alabama,vaccine near me,daily_vaccinations_per_million,0.217193742,-1
180,Alabama,vaccine near me,daily_vaccinations_per_million,0.033522187,0
181,Alaska,covid,daily_vaccinations,0.134681519,-14
182,Alaska,covid,daily_vaccinations,-0.026342262,-13
183,Alaska,covid,daily_vaccinations,0.08763872,-12
184,Alaska,covid,daily_vaccinations,0.05995816,-11
185,Alaska,covid,daily_vaccinations,0.000584551,-10
186,Alaska,covid,daily_vaccinations,0.01234614,-9
187,Alaska,covid,daily_vaccinations,-0.056658797,-8
188,Alaska,covid,daily_vaccinations,0.010615808,-7
189,Alaska,covid,daily_vaccinations,0.012066778,-6
190,Alaska,covid,daily_vaccinations,-0.067799927,-5
191,Alaska,covid,daily_vaccinations,-0.108735181,-4
192,Alaska,covid,daily_vaccinations,-0.079637741,-3
193,Alaska,covid,daily_vaccinations,0.010955137,-2
194,Alaska,covid,daily_vaccinations,0.200770073,-1
195,Alaska,covid,daily_vaccinations,-0.108307346,0
196,Alaska,covid,daily_vaccinations_per_million,0.134738678,-14
197,Alaska,covid,daily_vaccinations_per_million,-0.026333174,-13
198,Alaska,covid,daily_vaccinations_per_million,0.087672187,-12
199,Alaska,covid,daily_vaccinations_per_million,0.059923534,-11
200,Alaska,covid,daily_vaccinations_per_million,0.000586088,-10
201,Alaska,covid,daily_vaccinations_per_million,0.012322196,-9
202,Alaska,covid,daily_vaccinations_per_million,-0.056637107,-8
203,Alaska,covid,daily_vaccinations_per_million,0.010621641,-7
204,Alaska,covid,daily_vaccinations_per_million,0.012103878,-6
205,Alaska,covid,daily_vaccinations_per_million,-0.067875377,-5
206,Alaska,covid,daily_vaccinations_per_million,-0.108696904,-4
207,Alaska,covid,daily_vaccinations_per_million,-0.079634975,-3
208,Alaska,covid,daily_vaccinations_per_million,0.010923072,-2
209,Alaska,covid,daily_vaccinations_per_million,0.20080556,-1
210,Alaska,covid,daily_vaccinations_per_million,-0.108315323,0
211,Alaska,mask,daily_vaccinations,0.04656367,-14
212,Alaska,mask,daily_vaccinations,-0.142415121,-13
213,Alaska,mask,daily_vaccinations,-0.078047061,-12
214,Alaska,mask,daily_vaccinations,0.141681036,-11
215,Alaska,mask,daily_vaccinations,0.004473658,-10
216,Alaska,mask,daily_vaccinations,-0.019659593,-9
217,Alaska,mask,daily_vaccinations,-0.024676936,-8
218,Alaska,mask,daily_vaccinations,0.082324911,-7
219,Alaska,mask,daily_vaccinations,0.129306482,-6
220,Alaska,mask,daily_vaccinations,-0.054578668,-5
221,Alaska,mask,daily_vaccinations,-0.043696198,-4
222,Alaska,mask,daily_vaccinations,-0.00202159,-3
223,Alaska,mask,daily_vaccinations,0.006547993,-2
224,Alaska,mask,daily_vaccinations,0.167542283,-1
225,Alaska,mask,daily_vaccinations,-0.29465649,0
226,Alaska,mask,daily_vaccinations_per_million,0.046522356,-14
227,Alaska,mask,daily_vaccinations_per_million,-0.142445231,-13
228,Alaska,mask,daily_vaccinations_per_million,-0.077978645,-12
229,Alaska,mask,daily_vaccinations_per_million,0.141650678,-11
230,Alaska,mask,daily_vaccinations_per_million,0.004510671,-10
231,Alaska,mask,daily_vaccinations_per_million,-0.019715483,-9
232,Alaska,mask,daily_vaccinations_per_million,-0.024648911,-8
233,Alaska,mask,daily_vaccinations_per_million,0.082255009,-7
234,Alaska,mask,daily_vaccinations_per_million,0.129428306,-6
235,Alaska,mask,daily_vaccinations_per_million,-0.054665442,-5
236,Alaska,mask,daily_vaccinations_per_million,-0.043652817,-4
237,Alaska,mask,daily_vaccinations_per_million,-0.002008518,-3
238,Alaska,mask,daily_vaccinations_per_million,0.006514579,-2
239,Alaska,mask,daily_vaccinations_per_million,0.167541618,-1
240,Alaska,mask,daily_vaccinations_per_million,-0.294684856,0
241,Alaska,qanon,daily_vaccinations,0.038889022,-14
242,Alaska,qanon,daily_vaccinations,-0.059089055,-13
243,Alaska,qanon,daily_vaccinations,0.097659814,-12
244,Alaska,qanon,daily_vaccinations,0.174475791,-11
245,Alaska,qanon,daily_vaccinations,-0.017721,-10
246,Alaska,qanon,daily_vaccinations,-0.022298979,-9
247,Alaska,qanon,daily_vaccinations,-0.077271264,-8
248,Alaska,qanon,daily_vaccinations,-0.003332427,-7
249,Alaska,qanon,daily_vaccinations,0.065647776,-6
250,Alaska,qanon,daily_vaccinations,-0.07283072,-5
251,Alaska,qanon,daily_vaccinations,-0.062904732,-4
252,Alaska,qanon,daily_vaccinations,-0.028542744,-3
253,Alaska,qanon,daily_vaccinations,-0.02395496,-2
254,Alaska,qanon,daily_vaccinations,-0.044331966,-1
255,Alaska,qanon,daily_vaccinations,-0.101153699,0
256,Alaska,qanon,daily_vaccinations_per_million,0.038857543,-14
257,Alaska,qanon,daily_vaccinations_per_million,-0.059117641,-13
258,Alaska,qanon,daily_vaccinations_per_million,0.097701979,-12
259,Alaska,qanon,daily_vaccinations_per_million,0.174431505,-11
260,Alaska,qanon,daily_vaccinations_per_million,-0.017665286,-10
261,Alaska,qanon,daily_vaccinations_per_million,-0.022314543,-9
262,Alaska,qanon,daily_vaccinations_per_million,-0.077327141,-8
263,Alaska,qanon,daily_vaccinations_per_million,-0.003235963,-7
264,Alaska,qanon,daily_vaccinations_per_million,0.065594366,-6
265,Alaska,qanon,daily_vaccinations_per_million,-0.072818902,-5
266,Alaska,qanon,daily_vaccinations_per_million,-0.062910749,-4
267,Alaska,qanon,daily_vaccinations_per_million,-0.028548214,-3
268,Alaska,qanon,daily_vaccinations_per_million,-0.023922712,-2
269,Alaska,qanon,daily_vaccinations_per_million,-0.044414606,-1
270,Alaska,qanon,daily_vaccinations_per_million,-0.101097754,0
271,Alaska,social distancing,daily_vaccinations,-0.036763229,-14
272,Alaska,social distancing,daily_vaccinations,-0.039385625,-13
273,Alaska,social distancing,daily_vaccinations,-0.015941771,-12
274,Alaska,social distancing,daily_vaccinations,-0.029297903,-11
275,Alaska,social distancing,daily_vaccinations,-0.072864509,-10
276,Alaska,social distancing,daily_vaccinations,-0.054477869,-9
277,Alaska,social distancing,daily_vaccinations,-0.041030727,-8
278,Alaska,social distancing,daily_vaccinations,0.015754231,-7
279,Alaska,social distancing,daily_vaccinations,-0.056264827,-6
280,Alaska,social distancing,daily_vaccinations,-0.043948651,-5
281,Alaska,social distancing,daily_vaccinations,-0.078003841,-4
282,Alaska,social distancing,daily_vaccinations,0.025220196,-3
283,Alaska,social distancing,daily_vaccinations,0.017160143,-2
284,Alaska,social distancing,daily_vaccinations,-0.001361051,-1
285,Alaska,social distancing,daily_vaccinations,-0.033895219,0
286,Alaska,social distancing,daily_vaccinations_per_million,-0.036754079,-14
287,Alaska,social distancing,daily_vaccinations_per_million,-0.039423429,-13
288,Alaska,social distancing,daily_vaccinations_per_million,-0.015908016,-12
289,Alaska,social distancing,daily_vaccinations_per_million,-0.02930247,-11
290,Alaska,social distancing,daily_vaccinations_per_million,-0.072828517,-10
291,Alaska,social distancing,daily_vaccinations_per_million,-0.054484787,-9
292,Alaska,social distancing,daily_vaccinations_per_million,-0.041086907,-8
293,Alaska,social distancing,daily_vaccinations_per_million,0.015790739,-7
294,Alaska,social distancing,daily_vaccinations_per_million,-0.056230467,-6
295,Alaska,social distancing,daily_vaccinations_per_million,-0.044000779,-5
296,Alaska,social distancing,daily_vaccinations_per_million,-0.077964529,-4
297,Alaska,social distancing,daily_vaccinations_per_million,0.025185964,-3
298,Alaska,social distancing,daily_vaccinations_per_million,0.017195591,-2
299,Alaska,social distancing,daily_vaccinations_per_million,-0.001387637,-1
300,Alaska,social distancing,daily_vaccinations_per_million,-0.033867435,0
301,Alaska,vaccine,daily_vaccinations,0.089641603,-14
302,Alaska,vaccine,daily_vaccinations,-0.115714104,-13
303,Alaska,vaccine,daily_vaccinations,-0.06301293,-12
304,Alaska,vaccine,daily_vaccinations,-0.016187548,-11
305,Alaska,vaccine,daily_vaccinations,0.134702492,-10
306,Alaska,vaccine,daily_vaccinations,0.093690067,-9
307,Alaska,vaccine,daily_vaccinations,-0.049892315,-8
308,Alaska,vaccine,daily_vaccinations,-0.046244692,-7
309,Alaska,vaccine,daily_vaccinations,0.07426697,-6
310,Alaska,vaccine,daily_vaccinations,0.108423936,-5
311,Alaska,vaccine,daily_vaccinations,0.04823515,-4
312,Alaska,vaccine,daily_vaccinations,-0.183108567,-3
313,Alaska,vaccine,daily_vaccinations,0.110304706,-2
314,Alaska,vaccine,daily_vaccinations,0.161457277,-1
315,Alaska,vaccine,daily_vaccinations,0.088224897,0
316,Alaska,vaccine,daily_vaccinations_per_million,0.089699237,-14
317,Alaska,vaccine,daily_vaccinations_per_million,-0.115716498,-13
318,Alaska,vaccine,daily_vaccinations_per_million,-0.063001228,-12
319,Alaska,vaccine,daily_vaccinations_per_million,-0.016212734,-11
320,Alaska,vaccine,daily_vaccinations_per_million,0.134720099,-10
321,Alaska,vaccine,daily_vaccinations_per_million,0.093668011,-9
322,Alaska,vaccine,daily_vaccinations_per_million,-0.049921315,-8
323,Alaska,vaccine,daily_vaccinations_per_million,-0.046186998,-7
324,Alaska,vaccine,daily_vaccinations_per_million,0.074262966,-6
325,Alaska,vaccine,daily_vaccinations_per_million,0.108410834,-5
326,Alaska,vaccine,daily_vaccinations_per_million,0.048249378,-4
327,Alaska,vaccine,daily_vaccinations_per_million,-0.183116604,-3
328,Alaska,vaccine,daily_vaccinations_per_million,0.110273121,-2
329,Alaska,vaccine,daily_vaccinations_per_million,0.161521807,-1
330,Alaska,vaccine,daily_vaccinations_per_million,0.088224829,0
331,Alaska,vaccine near me,daily_vaccinations,-0.080480175,-14
332,Alaska,vaccine near me,daily_vaccinations,-0.106371338,-13
333,Alaska,vaccine near me,daily_vaccinations,-0.157282039,-12
334,Alaska,vaccine near me,daily_vaccinations,0.033917707,-11
335,Alaska,vaccine near me,daily_vaccinations,-0.016684194,-10
336,Alaska,vaccine near me,daily_vaccinations,-0.040554142,-9
337,Alaska,vaccine near me,daily_vaccinations,0.185211714,-8
338,Alaska,vaccine near me,daily_vaccinations,-0.049380503,-7
339,Alaska,vaccine near me,daily_vaccinations,-0.057724606,-6
340,Alaska,vaccine near me,daily_vaccinations,0.057401916,-5
341,Alaska,vaccine near me,daily_vaccinations,-0.1129611,-4
342,Alaska,vaccine near me,daily_vaccinations,0.066101129,-3
343,Alaska,vaccine near me,daily_vaccinations,0.050296951,-2
344,Alaska,vaccine near me,daily_vaccinations,0.017662532,-1
345,Alaska,vaccine near me,daily_vaccinations,0.097950813,0
